Date,Time,Temperature F,Time_fixed,Time_fixed_dt
2025-06-24,11:05:00,77,11:05:00 AM,2025-06-24T11:05:00Z
2025-06-24,11:15:00,77,11:15:00 AM,2025-06-24T11:15:00Z
2025-06-24,11:25:00,77,11:25:00 AM,2025-06-24T11:25:00Z
2025-06-24,11:35:00,78,11:35:00 AM,2025-06-24T11:35:00Z
2025-06-24,11:45:00,78,11:45:00 AM,2025-06-24T11:45:00Z
2025-06-24,11:55:00,77,11:55:00 AM,2025-06-24T11:55:00Z
2025-06-24,12:05:00,77,12:05:00 PM,2025-06-24T12:05:00Z
2025-06-24,12:15:00,77,12:15:00 PM,2025-06-24T12:15:00Z
2025-06-24,12:25:00,77,12:25:00 PM,2025-06-24T12:25:00Z
2025-06-24,12:35:00,78,12:35:00 PM,2025-06-24T12:35:00Z
2025-06-24,12:45:00,77,12:45:00 PM,2025-06-24T12:45:00Z
2025-06-24,12:55:00,77,12:55:00 PM,2025-06-24T12:55:00Z
2025-06-24,01:05:00,78,01:05:00 PM,2025-06-24T13:05:00Z
2025-06-24,01:15:00,78,01:15:00 PM,2025-06-24T13:15:00Z
2025-06-24,01:25:00,78,01:25:00 PM,2025-06-24T13:25:00Z
2025-06-25,10:35:00,69,10:35:00 AM,2025-06-25T10:35:00Z
2025-06-25,10:45:00,73,10:45:00 AM,2025-06-25T10:45:00Z
2025-06-25,10:55:00,71,10:55:00 AM,2025-06-25T10:55:00Z
2025-06-25,11:05:00,69,11:05:00 AM,2025-06-25T11:05:00Z
2025-06-25,11:15:00,71,11:15:00 AM,2025-06-25T11:15:00Z
2025-06-25,11:25:00,71,11:25:00 AM,2025-06-25T11:25:00Z
2025-06-25,11:35:00,71,11:35:00 AM,2025-06-25T11:35:00Z
2025-06-25,11:45:00,73,11:45:00 AM,2025-06-25T11:45:00Z
2025-06-25,11:55:00,73,11:55:00 AM,2025-06-25T11:55:00Z
2025-06-25,12:05:00,73,12:05:00 PM,2025-06-25T12:05:00Z
2025-06-25,12:15:00,75,12:15:00 PM,2025-06-25T12:15:00Z
2025-06-25,12:25:00,77,12:25:00 PM,2025-06-25T12:25:00Z
2025-06-25,12:35:00,77,12:35:00 PM,2025-06-25T12:35:00Z
2025-06-25,12:45:00,79,12:45:00 PM,2025-06-25T12:45:00Z
2025-06-25,12:55:00,80,12:55:00 PM,2025-06-25T12:55:00Z
2025-06-25,01:05:00,80,01:05:00 PM,2025-06-25T13:05:00Z
2025-06-25,01:15:00,82,01:15:00 PM,2025-06-25T13:15:00Z
2025-06-25,01:25:00,84,01:25:00 PM,2025-06-25T13:25:00Z
2025-06-25,01:35:00,86,01:35:00 PM,2025-06-25T13:35:00Z
2025-06-25,01:45:00,86,01:45:00 PM,2025-06-25T13:45:00Z
2025-06-25,01:55:00,87,01:55:00 PM,2025-06-25T13:55:00Z
2025-06-25,02:05:00,87,02:05:00 PM,2025-06-25T14:05:00Z
2025-06-25,02:15:00,87,02:15:00 PM,2025-06-25T14:15:00Z
2025-06-26,11:45:00,73,11:45:00 AM,2025-06-26T11:45:00Z
2025-06-26,11:55:00,77,11:55:00 AM,2025-06-26T11:55:00Z
2025-06-26,12:05:00,77,12:05:00 PM,2025-06-26T12:05:00Z
2025-06-26,12:15:00,78,12:15:00 PM,2025-06-26T12:15:00Z
2025-06-26,12:25:00,80,12:25:00 PM,2025-06-26T12:25:00Z
2025-06-26,12:35:00,82,12:35:00 PM,2025-06-26T12:35:00Z
2025-06-26,12:45:00,82,12:45:00 PM,2025-06-26T12:45:00Z
2025-06-26,12:55:00,82,12:55:00 PM,2025-06-26T12:55:00Z
2025-06-26,01:05:00,82,01:05:00 PM,2025-06-26T13:05:00Z
2025-06-26,01:15:00,84,01:15:00 PM,2025-06-26T13:15:00Z
2025-06-26,01:25:00,84,01:25:00 PM,2025-06-26T13:25:00Z
2025-06-26,01:35:00,84,01:35:00 PM,2025-06-26T13:35:00Z
2025-06-26,01:45:00,84,01:45:00 PM,2025-06-26T13:45:00Z
2025-06-26,01:55:00,86,01:55:00 PM,2025-06-26T13:55:00Z
2025-06-26,02:05:00,87,02:05:00 PM,2025-06-26T14:05:00Z
2025-06-26,02:15:00,87,02:15:00 PM,2025-06-26T14:15:00Z
2025-06-30,10:35:00,75,10:35:00 AM,2025-06-30T10:35:00Z
2025-06-30,10:45:00,80,10:45:00 AM,2025-06-30T10:45:00Z
2025-06-30,10:55:00,75,10:55:00 AM,2025-06-30T10:55:00Z
2025-06-30,11:05:00,75,11:05:00 AM,2025-06-30T11:05:00Z
2025-06-30,11:15:00,75,11:15:00 AM,2025-06-30T11:15:00Z
2025-06-30,11:25:00,75,11:25:00 AM,2025-06-30T11:25:00Z
2025-06-30,11:35:00,77,11:35:00 AM,2025-06-30T11:35:00Z
2025-06-30,11:45:00,77,11:45:00 AM,2025-06-30T11:45:00Z
2025-06-30,11:55:00,77,11:55:00 AM,2025-06-30T11:55:00Z
2025-06-30,12:05:00,77,12:05:00 PM,2025-06-30T12:05:00Z
2025-06-30,12:15:00,77,12:15:00 PM,2025-06-30T12:15:00Z
2025-06-30,12:25:00,78,12:25:00 PM,2025-06-30T12:25:00Z
2025-06-30,12:35:00,78,12:35:00 PM,2025-06-30T12:35:00Z
2025-06-30,12:45:00,78,12:45:00 PM,2025-06-30T12:45:00Z
2025-06-30,12:55:00,80,12:55:00 PM,2025-06-30T12:55:00Z
2025-06-30,01:05:00,82,01:05:00 PM,2025-06-30T13:05:00Z
2025-06-30,01:15:00,84,01:15:00 PM,2025-06-30T13:15:00Z
2025-06-30,01:25:00,84,01:25:00 PM,2025-06-30T13:25:00Z
2025-06-30,01:35:00,86,01:35:00 PM,2025-06-30T13:35:00Z
2025-07-01,11:35:00,77,11:35:00 AM,2025-07-01T11:35:00Z
2025-07-01,11:45:00,78,11:45:00 AM,2025-07-01T11:45:00Z
2025-07-01,11:55:00,82,11:55:00 AM,2025-07-01T11:55:00Z
2025-07-01,12:05:00,84,12:05:00 PM,2025-07-01T12:05:00Z
2025-07-01,12:15:00,84,12:15:00 PM,2025-07-01T12:15:00Z
2025-07-01,12:25:00,86,12:25:00 PM,2025-07-01T12:25:00Z
2025-07-01,12:35:00,86,12:35:00 PM,2025-07-01T12:35:00Z
2025-07-01,12:45:00,87,12:45:00 PM,2025-07-01T12:45:00Z
2025-07-01,12:55:00,87,12:55:00 PM,2025-07-01T12:55:00Z
2025-07-01,01:05:00,86,01:05:00 PM,2025-07-01T13:05:00Z
2025-07-01,01:15:00,86,01:15:00 PM,2025-07-01T13:15:00Z
2025-07-01,01:25:00,84,01:25:00 PM,2025-07-01T13:25:00Z
2025-07-01,01:35:00,82,01:35:00 PM,2025-07-01T13:35:00Z
2025-07-01,01:45:00,84,01:45:00 PM,2025-07-01T13:45:00Z
2025-07-01,01:55:00,84,01:55:00 PM,2025-07-01T13:55:00Z
2025-07-01,02:05:00,84,02:05:00 PM,2025-07-01T14:05:00Z
2025-07-01,02:15:00,84,02:15:00 PM,2025-07-01T14:15:00Z
2025-07-01,02:25:00,82,02:25:00 PM,2025-07-01T14:25:00Z
2025-07-01,02:35:00,84,02:35:00 PM,2025-07-01T14:35:00Z
2025-07-01,02:45:00,84,02:45:00 PM,2025-07-01T14:45:00Z
2025-07-01,02:55:00,84,02:55:00 PM,2025-07-01T14:55:00Z
2025-07-02,11:55:00,77,11:55:00 AM,2025-07-02T11:55:00Z
2025-07-02,12:05:00,80,12:05:00 PM,2025-07-02T12:05:00Z
2025-07-02,12:15:00,84,12:15:00 PM,2025-07-02T12:15:00Z
2025-07-02,12:25:00,86,12:25:00 PM,2025-07-02T12:25:00Z
2025-07-02,12:35:00,87,12:35:00 PM,2025-07-02T12:35:00Z
2025-07-02,12:45:00,87,12:45:00 PM,2025-07-02T12:45:00Z
2025-07-02,12:55:00,87,12:55:00 PM,2025-07-02T12:55:00Z
2025-07-02,01:05:00,89,01:05:00 PM,2025-07-02T13:05:00Z
2025-07-03,11:55:00,75,11:55:00 AM,2025-07-03T11:55:00Z
2025-07-03,12:05:00,82,12:05:00 PM,2025-07-03T12:05:00Z
2025-07-03,12:15:00,86,12:15:00 PM,2025-07-03T12:15:00Z
2025-07-03,12:25:00,86,12:25:00 PM,2025-07-03T12:25:00Z
2025-07-03,12:35:00,86,12:35:00 PM,2025-07-03T12:35:00Z
2025-07-03,12:45:00,86,12:45:00 PM,2025-07-03T12:45:00Z
2025-07-03,12:55:00,86,12:55:00 PM,2025-07-03T12:55:00Z
2025-07-03,01:05:00,87,01:05:00 PM,2025-07-03T13:05:00Z
2025-07-03,01:15:00,87,01:15:00 PM,2025-07-03T13:15:00Z
2025-07-03,01:25:00,89,01:25:00 PM,2025-07-03T13:25:00Z
2025-07-03,01:35:00,89,01:35:00 PM,2025-07-03T13:35:00Z
2025-07-03,01:45:00,89,01:45:00 PM,2025-07-03T13:45:00Z
2025-07-03,01:55:00,89,01:55:00 PM,2025-07-03T13:55:00Z
2025-07-03,02:05:00,91,02:05:00 PM,2025-07-03T14:05:00Z
2025-07-03,02:15:00,91,02:15:00 PM,2025-07-03T14:15:00Z
2025-07-03,02:25:00,91,02:25:00 PM,2025-07-03T14:25:00Z
